Modelo,accuracy,precision,recall,f1,roc_auc
Regresión Logística optimizada,0.8156424581005587,0.8103448275862069,0.6811594202898551,0.7401574803149606,0.850592885375494
Regresión Logística,0.8044692737430168,0.7833333333333333,0.6811594202898551,0.7286821705426356,0.8500658761528328
Random Forest optimizado,0.8100558659217877,0.8301886792452831,0.6376811594202898,0.7213114754098361,0.8361001317523057
Random Forest,0.8100558659217877,0.7868852459016393,0.6956521739130435,0.7384615384615385,0.8244400527009222
